,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri,genres
22234,2022-07-28 21:53,Trivium,A Crisis Of Revelation,335792,Trivium:A Crisis Of Revelation,0,,,melodic thrash
22235,2022-07-28 21:53,Trivium,A Crisis Of Revelation,335792,Trivium:A Crisis Of Revelation,0,,,metal
22236,2022-07-28 21:53,Trivium,A Crisis Of Revelation,335792,Trivium:A Crisis Of Revelation,0,,,metalcore
22237,2022-07-28 21:53,Trivium,A Crisis Of Revelation,335792,Trivium:A Crisis Of Revelation,0,,,nu metal
22238,2022-07-29 11:28,Trivium,The Shadow Of The Abattoir,431688,Trivium:The Shadow Of The Abattoir,0,,,alternative metal
22239,2022-07-29 11:28,Trivium,The Shadow Of The Abattoir,431688,Trivium:The Shadow Of The Abattoir,0,,,melodic metalcore
22240,2022-07-29 11:28,Trivium,The Shadow Of The Abattoir,431688,Trivium:The Shadow Of The Abattoir,0,,,melodic thrash
22241,2022-07-29 11:28,Trivium,The Shadow Of The Abattoir,431688,Trivium:The Shadow Of The Abattoir,0,,,metal
22242,2022-07-29 11:28,Trivium,The Shadow Of The Abattoir,431688,Trivium:The Shadow Of The Abattoir,0,,,metalcore
22243,2022-07-29 11:28,Trivium,The Shadow Of The Abattoir,431688,Trivium:The Shadow Of The Abattoir,0,,,nu metal
22244,2022-07-29 11:32,Trivium,No Way Back Just Through,233406,Trivium:No Way Back Just Through,0,,,alternative metal
22245,2022-07-29 11:32,Trivium,No Way Back Just Through,233406,Trivium:No Way Back Just Through,0,,,melodic metalcore
22246,2022-07-29 11:32,Trivium,No Way Back Just Through,233406,Trivium:No Way Back Just Through,0,,,melodic thrash
22247,2022-07-29 11:32,Trivium,No Way Back Just Through,233406,Trivium:No Way Back Just Through,0,,,metal
22248,2022-07-29 11:32,Trivium,No Way Back Just Through,233406,Trivium:No Way Back Just Through,0,,,metalcore
22249,2022-07-29 11:32,Trivium,No Way Back Just Through,233406,Trivium:No Way Back Just Through,0,,,nu metal
22250,2022-07-29 11:40,Trivium,Fall Into Your Hands,465461,Trivium:Fall Into Your Hands,0,,,alternative metal
22251,2022-07-29 11:40,Trivium,Fall Into Your Hands,465461,Trivium:Fall Into Your Hands,0,,,melodic metalcore
22252,2022-07-29 11:40,Trivium,Fall Into Your Hands,465461,Trivium:Fall Into Your Hands,0,,,melodic thrash
22253,2022-07-29 11:40,Trivium,Fall Into Your Hands,465461,Trivium:Fall Into Your Hands,0,,,metal
22254,2022-07-29 11:40,Trivium,Fall Into Your Hands,465461,Trivium:Fall Into Your Hands,0,,,metalcore
22255,2022-07-29 11:40,Trivium,Fall Into Your Hands,465461,Trivium:Fall Into Your Hands,0,,,nu metal
22256,2022-07-29 11:44,Trivium,From Dawn To Decadence,248734,Trivium:From Dawn To Decadence,0,,,alternative metal
22257,2022-07-29 11:44,Trivium,From Dawn To Decadence,248734,Trivium:From Dawn To Decadence,0,,,melodic metalcore
22258,2022-07-29 11:44,Trivium,From Dawn To Decadence,248734,Trivium:From Dawn To Decadence,0,,,melodic thrash
22259,2022-07-29 11:44,Trivium,From Dawn To Decadence,248734,Trivium:From Dawn To Decadence,0,,,metal
22260,2022-07-29 11:44,Trivium,From Dawn To Decadence,248734,Trivium:From Dawn To Decadence,0,,,metalcore
22261,2022-07-29 11:44,Trivium,From Dawn To Decadence,248734,Trivium:From Dawn To Decadence,0,,,nu metal
22262,2022-07-29 11:51,Trivium,The Phalanx,435976,Trivium:The Phalanx,0,,,alternative metal
22263,2022-07-29 11:51,Trivium,The Phalanx,435976,Trivium:The Phalanx,0,,,melodic metalcore
22264,2022-07-29 11:51,Trivium,The Phalanx,435976,Trivium:The Phalanx,0,,,melodic thrash
22265,2022-07-29 11:51,Trivium,The Phalanx,435976,Trivium:The Phalanx,0,,,metal
22266,2022-07-29 11:51,Trivium,The Phalanx,435976,Trivium:The Phalanx,0,,,metalcore
22267,2022-07-29 11:51,Trivium,The Phalanx,435976,Trivium:The Phalanx,0,,,nu metal
22268,2022-07-29 11:52,Light The Torch,More Than Dreaming,53354,Light The Torch:More Than Dreaming,0,,,melodic metalcore
22269,2022-07-29 11:52,Light The Torch,More Than Dreaming,53354,Light The Torch:More Than Dreaming,0,,,metalcore
22270,2022-07-29 11:53,Kamufle,Gidin Başımdan,41088,Kamufle:Gidin Başımdan,0,,,turkish hip hop
22271,2022-07-29 11:53,Kamufle,Gidin Başımdan,41088,Kamufle:Gidin Başımdan,0,,,turkish trap pop
22272,2022-07-29 12:29,Ben Fero,FERHAT YILMAZ,119176,Ben Fero:FERHAT YILMAZ,0,,,turkce drill
22273,2022-07-29 12:29,Ben Fero,FERHAT YILMAZ,119176,Ben Fero:FERHAT YILMAZ,0,,,turkish trap
22274,2022-07-29 12:30,Ben Fero,Bunlar Anlamaz,117784,Ben Fero:Bunlar Anlamaz,0,,,turkce drill
22275,2022-07-29 12:30,Ben Fero,Bunlar Anlamaz,117784,Ben Fero:Bunlar Anlamaz,0,,,turkish trap
22276,2022-07-29 12:31,Ben Fero,Motivasyon,681,Ben Fero:Motivasyon,0,,,turkce drill
