,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri,genres
3617,2022-03-04 10:38,Red Hot Chili Peppers,Poster Child,91029,Red Hot Chili Peppers:Poster Child,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3618,2022-03-04 11:24,Red Hot Chili Peppers,Poster Child,318421,Red Hot Chili Peppers:Poster Child,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3619,2022-03-04 11:28,Red Hot Chili Peppers,Black Summer,232412,Red Hot Chili Peppers:Black Summer,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3620,2022-03-04 11:32,Red Hot Chili Peppers,Californication,12271,Red Hot Chili Peppers:Californication,1,Greatest Hits,23EKk7ESb97Z5bFBlkuM56,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3621,2022-03-04 11:32,Red Hot Chili Peppers,This Velvet Glove,225200,Red Hot Chili Peppers:This Velvet Glove,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3622,2022-03-04 11:32,Pearl Jam,Alive,9251,Pearl Jam:Alive,1,Ten,1L94M3KIu7QluZe63g64rv,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
3623,2022-03-04 11:37,Red Hot Chili Peppers,Californication,318594,Red Hot Chili Peppers:Californication,1,Greatest Hits,23EKk7ESb97Z5bFBlkuM56,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3624,2022-03-04 11:42,Red Hot Chili Peppers,Can't Stop,269000,Red Hot Chili Peppers:Can't Stop,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3625,2022-03-04 11:47,Red Hot Chili Peppers,Snow (Hey Oh),334666,Red Hot Chili Peppers:Snow (Hey Oh),0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3626,2022-03-04 11:52,Red Hot Chili Peppers,Dark Necessities,302000,Red Hot Chili Peppers:Dark Necessities,1,The Getaway,2oaK4JLVnmRGIO9ytBE1bt,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3627,2022-03-04 11:57,Red Hot Chili Peppers,Otherside,255373,Red Hot Chili Peppers:Otherside,1,Greatest Hits,5eIAI5uZQMNviHXTJbvVvk,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3628,2022-03-04 12:00,Red Hot Chili Peppers,By the Way,216933,Red Hot Chili Peppers:By the Way,1,Greatest Hits,5pAGl4nTCwcXdce769jJuI,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3629,2022-03-04 12:05,Red Hot Chili Peppers,Dani California,282160,Red Hot Chili Peppers:Dani California,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
